lexeme,gen
addendum,m
additif,m
addition,f
adducteur,m
adduction,f
adénine,f
adénocarcinome,m
adénome,m
adénopathie,f
adénosine,f
adénovirus,m
adent,m
adéquation,f
adhérence,f
adhérent,m
adhésif,m
adhésion,f
adieu,m
adiposité,f
adja,m
adjectif,m
adjoint,m
adjointe,f
adjudant-chef,m
adjudant-major,m
adjupète,m
adjuration,f
adjutrice,f
adjuvant,m
administration,f
administrative,f
administratrice,f
administré,m
administrée,f
admirateur,m
admiratrice,f
admis,m
admissibilité,f
admixtion,f
admonestation,f
admonition,f
adobe,m
adolescence,f
adolescent,m
adolescente,f
adon,m
adonie,f
adonis,m
adoptant,m
adopté,m
adoption,f
adorateur,m
adoration,f
adoratrice,f
ados,m
adoubement,m
adoucissant,m
adoucisseur,m
adp,m
adrénaline,f
adressage,m
adresse,f
adret,m
adulateur,m
adultat,m
adultération,f
adultère,m
aegipan,m
aérage,m
aérateur,m
aération,f
aérien,m
aéro-club,m
aéro,m
aérobic,m
aérodrome,m
aérodynamique,f
aérodynamisme,m
aérofrein,m
aérogare,f
aéroglisseur,m
aérographe,m
aérolithe,m
aérologie,f
aéromodélisme,m
aéronautique,f
aéronavale,f
aéronef,m
aéropathie,f
aérophagie,f
aéroplane,m
aéroport,m
aéropostale,f
aérosol,m
aérospatiale,f
aérostat,m
aérostier,m
aérotrain,m
affabilité,f
affabulation,f
affabulatrice,f
affacturage,m
affadissement,m
affaiblissement,m
affaire,f
affairé,m
affairée,f
affairisme,m
affaissement,m
affalement,m
affamé,m
affamée,f
affect,m
affectation,f
affection,f
affectivité,f
affermissement,m
afféterie,f
affichage,m
affiche,f
affichette,f
afficheur,m
affidavit,m
affidé,m
affilié,m
affiliée,f
affinage,m
affinement,m
affinité,f
affiquet,m
affirmation,f
affirmative,f
affleurement,m
affluence,f
afflux,m
affolement,m
affouage,m
affouillement,m
affranchie,f
affrètement,m
affréteur,m
affront,m
affrontement,m
affublement,m
affusion,f
affût,m
affûtage,m
affûteur,m
afghan,m
afghane,f
aficionado,m
africain,m
africaine,f
africanisme,m
afrikaans,m
afro-américain,m
afro-américaine,f
afro-cubain,m
afro-cubaine,f
after-shave,m
agace,f
agacement,m
agaceur,m
agame,m
agami,m
agapanthe,f
agar-agar,m
agate,f
agave,m
age,m
agence,f
agencement,m
agent,m
agente,f
aggiornamento,m
agglo,m
agglomérat,m
agglomération,f
aggloméré,m
agglutination,f
agglutinement,m
agglutinogène,m
aggravation,f
aggrave,f
aggravée,f
agilité,f
agio,m
agioteur,m
âgisme,m
agit-prop,f
agitateur,m
agitatrice,f
agité,m
agitée,f
agnat,m
agnathe,m
agneau,m
agnelage,m
agnelet,m
agneline,f
agnelle,f
agnosie,f
agnus dei,m
agonie,f
agonisant,m
agonisante,f
agora,f
agoraphobie,f
agouti,m
agoyate,m
agrafage,m
agrafe,f
agrafeur,m
agrafeuse,f
agrainage,m
agranulocytose,f
agréable,m
agréé,m
agrég,f
agrégat,m
agrégatif,m
agrégation,f
agrégative,f
agrégé,m
agrégée,f
agrément,m
agrès,m
agresseur,m
agression,f
agressivité,f
agriculteur,m
agricultrice,f
agrippement,m
agroalimentaire,m
agronomie,f
agroville,f
aguardiente,f
aguichage,m
aguiche,f
aguicheuse,f
ahan,m
ahurie,f
ahurissement,m
aï,m
aïd,m
aide-comptable,m
aide-cuisinier,m
aide-jardinier,m
aide-major,m
aide-mémoire,m
aide-ménagère,f
aide-soignante,f
aïeul,m
aïeule,f
aiglefin,m
aiglon,m
aigrette,f
aigreur,f
aigrie,f
aigu,m
aiguade,f
aiguail,m
aigue-marine,f
aiguière,f
aiguillage,m
aiguillat,m
aiguille,f
aiguillée,f
aiguillette,f
aiguilleur,m
aiguillon,m
aiguiseur,m
aiguisoir,m
aïkido,m
aile,f
ailette,f
ailier,m
aimant,m
aimantation,f
aimeuse,f
aîné,m
aînée,f
aînesse,f
aïoli,m
air bag,m
air,m
airbus,m
aire,f
airedale,m
airelle,f
aisance,f
aisseau,m
aisselle,f
aître,m
aixois,m
ajaccienne,f
ajax,m
ajonc,m
ajour,m
ajoute,f
ajouté,m
ajustage,m
ajustement,m
ajusteur,m
ajusture,f
ajutage,m
ako,m
akvavit,m
alabandine,f
alaise,f
alanguissement,m
alarme,f
alarmisme,m
alba,f
albacore,m
albanais,m
albanaise,f
albatros,m
albe,m
albène,m
albertine,f
albigeois,m
albinisme,m
albugo,m
albumine,f
alcalde,m
alcali,m
alcalinité,f
alcaloïde,m
alcalose,f
alcatraz,m
alcée,f
alchimie,f
alcibiade,m
alcoolémie,f
alcoolisme,m
alcoomètre,m
alcootest,m
alcoran,m
alcyon,m
alde,m
aldéhyde,m
alderman,m
aldol,m
ale,f
aléa,m
alerte,f
alexandra,m
alexandrin,m
alexie,f
alexithymie,m
alezan,m
alfénide,m
algarade,f
algérien,m
algérienne,f
algie,f
algonquin,m
algonquine,f
algorithme,m
algue,f
alidade,f
aliénation,f
aliéné,m
aliénée,f
aligot,m
aligoté,m
alim,f
alimentation,f
alinéa,m
alise,f
alisier,m
alitement,m
alizé,m
allant,m
allée,f
allégation,f
allégeance,f
allègement,m
allégement,m
allégorie,f
allégresse,f
allegro,m
allèle,m
alléluia,m
allemagne,f
allemand,m
allemande,f
aller-retour,m
allergène,m
allergie,f
allergologie,f
alliage,m
alliance,f
allié,m
alliée,f
alligator,m
allitération,f
allium,m
allobarbital,m
alloc,f
allocation,f
allochtone,m
allocution,f
allogreffe,f
allonge,f
allongement,m
allopathie,f
allumage,m
allumé,m
allumée,f
allumeur,m
allumeuse,f
allumoir,m
allure,f
alluvion,f
almée,f
aloès,m
aloi,m
alopécie,f
alose,f
alouette,f
alourdissement,m
aloyau,m
alpaga,m
alpage,m
alpe,f
alpenstock,m
alphabet,m
alphabétisation,f
alsacienne,f
alstonia,f
alter ego,m
altération,f
altercation,f
altérité,f
alternateur,m
alternative,f
althaea,f
altitude,f
altruisme,m
altuglas,m
alude,f
aluette,f
aluminium,m
alun,m
alunissage,m
alvar,m
alvéole,m
alysse,m
amabilité,f
amaigrissement,m
amalgame,m
aman,m
amande,f
amandine,f
amante,f
amaro,m
amas,m
amateurisme,m
amatrice,f
amaurose,f
amazone,f
ambage,f
ambassadeur,m
ambassadrice,f
ambiguïté,f
ambitieuse,f
ambitieux,m
ambition,f
ambivalence,f
ambon,m
ambroisie,f
ambulancier,m
ambulancière,f
ambulant,m
âme-soeur,f
âme,f
amé,m
amélioration,f
aménagement,m
amendement,m
amenée,f
aménité,f
aménorrhée,f
amenuisement,m
amer,m
américain,m
américaine,f
américanisation,f
américanisme,m
américanité,f
américano,m
américium,m
amérindien,m
amérindienne,f
amérique,f
amerrissage,m
amertume,f
améthyste,f
ameublement,m
amharique,m
ami,m
amiante,m
amicale,f
amicalité,f
amidon,m
amie,f
amincissant,m
amincissement,m
amine,f
aminoacide,m
aminophylline,f
amiral,m
amirauté,f
amitié,f
ammonite,f
ammonitrate,m
ammonium,m
amnésie,f
amniocentèse,f
amnios,m
amnistie,f
amnistié,m
amnistiée,f
amoindrissement,m
amok,m
amollissement,m
amont,m
amoralité,f
amorçage,m
amorce,f
amorçoir,m
amorti,m
amortissement,m
amortisseur,m
amour-goût,m
amour-passion,m
amour,m
amoureuse,f
amoureux,m
amours,f
ampélopsis,m
ampérage,m
ampère,m
ampèremètre,m
amphé,m
amphétamine,f
amphi,m
amphibie,m
amphibien,m
amphigouri,m
amphithéâtre,m
amphitrite,f
amphitryon,m
amphore,f
ampleur,f
ampli-tuner,m
amplification,f
amplitude,f
ampoule,f
amputé,m
amulette,f
amure,f
amuse-bouche,m
amuse-gueule,m
amusement,m
amygdale,f
amygdalectomie,f
amygdalite,f
amylase,f
amyle,m
ana,m
anabase,f
anabolisant,m
anachorète,m
anachronisme,m
anacoluthe,f
anaconda,m
anaglyphe,m
anagramme,f
analeptique,m
analgésie,f
analgésique,m
analogie,f
analogue,m
analphabétisme,m
analysant,m
analysé,m
analysée,f
analyseur,m
analytique,f
anamnèse,f
anamorphose,f
ananas,m
anaphase,f
anaphylaxie,f
anarchisme,m
anarcho-syndicalisme,m
anastomose,f
anathème,m
anatidé,m
anatife,m
anatomie,f
ancestralité,f
anche,f
anchilops,m
anchoïade,f
anchois,m
ancien,m
ancienne,f
ancienneté,f
ancolie,f
ancrage,m
anda,m
andain,m
andalouse,f
andante,m
andouiller,m
andouillette,f
andrinople,f
androgène,m
androgynie,f
androïde,m
andropause,f
âne,m
anéantissement,m
anecdote,f
anecdotier,m
anémie,f
anémomètre,m
anémone,f
ânerie,f
anesthésiant,m
anesthésie,f
anesthésique,m
anévrisme,m
anfractuosité,f
ange,m
angéite,f
angélique,f
angélisme,m
angelot,m
angélus,m
angevin,m
angevine,f
angiocholite,f
angiographie,f
angiome,m
angioplastie,f
anglaise,f
angleterre,f
anglican,m
anglicane,f
anglicisation,f
anglicisme,m
anglo-américain,m
anglo-arabe,m
anglo-saxon,m
anglomanie,f
anglophobie,f
angoisse,f
angoissé,m
angolais,m
angor,m
angora,m
angström,m
anguillule,f
anguis,m
angulosité,f
angustura,f
anhélation,f
anhydride,m
aniline,f
animal-espion,m
animal-roi,m
animalcule,m
animalerie,f
animalier,m
animalité,f
animisme,m
animosité,f
animus,m
anis,m
anisé,m
anisette,f
ankh,m
annales,f
anneau,m
année-lumière,f
années-homme,f
annelet,m
annelure,f
annexion,f
annihilation,f
anniv,m
annonceur,m
annonceuse,f
annonciateur,m
annonciation,f
annonciatrice,f
annotation,f
annuaire,m
annulaire,m
anoblissement,m
anode,f
anomalie,f
anomoure,m
ânonnement,m
anonymat,m
anonymographe,m
anophèle,m
anorak,m
anorexie,f
anormal,m
anormale,f
anormalité,f
anosmie,f
anoxie,f
anse,f
antagonisme,m
antalgique,m
ante,f
antécédent,m
antéchrist,m
antenne,f
antépénultième,f
anthologie,f
anthonome,m
anthracène,m
anthracine,m
anthracite,m
anthracose,f
anthraquinone,f
anthrax,m
anthropologie,f
anthropométrie,f
anthropomorphisme,m
anthropophagie,f
anthropopithèque,m
anti-acné,f
anti-aérien,m
anti-agression,f
anti-allergie,f
anti-apartheid,m
anti-avortement,m
anti-beauf,m
anti-bison,m
anti-blindage,m
anti-blouson,m
anti-bombe,f
anti-boson,m
anti-braquage,m
anti-brouillard,m
anti-bruit,m
anti-cancer,m
anti-cellulite,f
anti-chambre,f
anti-char,m
anti-chien,m
anti-cité,f
anti-civilisation,f
anti-club,m
anti-colère,f
anti-communisme,m
anti-conformisme,m
anti-corps,m
anti-corruption,f
anti-crash,m
anti-crime,m
anti-criminalité,f
anti-dauphin,m
anti-débauche,f
anti-démon,m
anti-desperado,m
anti-dieu,m
anti-discrimination,f
anti-dopage,m
anti-douleur,f
anti-drague,f
anti-drogue,f
anti-espionne,f
anti-establishment,m
anti-évasion,f
anti-existence,f
anti-explosion,f
anti-fantôme,m
anti-femme,f
anti-flingage,m
anti-flip,m
anti-frigo,m
anti-fusée,f
anti-gel,m
anti-gerce,f
anti-gouvernement,m
anti-graffiti,m
anti-gravité,f
anti-grimace,f
anti-hanneton,m
anti-immigration,f
anti-incendie,m
anti-inertie,f
anti-inflammatoire,m
anti-insecte,m
anti-instinct,m
anti-intimité,f
anti-japon,m
anti-mafia,f
anti-maison,f
anti-manipulation,f
anti-manoir,m
anti-mariage,m
anti-matière,f
anti-mec,m
anti-médicament,m
anti-météorite,f
anti-missile,m
anti-mite,f
anti-monde,m
anti-moustique,m
anti-nausée,f
anti-navire,m
anti-nucléaire,m
anti-odeur,f
anti-origine,f
anti-panache,m
anti-particule,f
anti-pasteur,m
anti-piratage,m
anti-poison,m
anti-poisse,f
anti-pollution,f
anti-poux,m
anti-puce,f
anti-racket,m
anti-radiation,f
anti-rapt,m
anti-reflet,m
anti-rejet,m
anti-religion,f
anti-rhume,m
anti-ride,f
anti-romain,m
anti-rouille,f
anti-sémitisme,m
anti-sida,m
anti-société,f
anti-somnolence,f
anti-souffle,m
anti-stress,m
anti-tache,f
anti-tank,m
anti-tapisserie,f
anti-temps,m
anti-tension,f
anti-terrorisme,m
anti-tornade,f
anti-toux,f
anti-truie,f
anti-trust,m
anti-venin,m
anti-vieillissement,m
anti-viol,m
anti-violence,f
anti-virus,m
antiaméricanisme,m
antibiotique,m
antibois,m
antibolchevisme,m
anticatalyseur,m
antichristianisme,m
anticléricalisme,m
anticoagulant,m
anticolonialisme,m
anticyclone,m
antidémarrage,m
antidépresseur,m
antidérapant,m
antidote,m
antidreyfusard,m
antidreyfusisme,m
antiémétique,m
antienne,f
antifading,m
antifascisme,m
antiféminisme,m
antifongique,m
antigermanisme,m
antigravitation,f
antigrippe,f
antihéros,m
antihistaminique,m
antillais,m
antillaise,f
antilope,f
antimilitarisme,m
antimite,m
antimitotique,m
antimoine,m
antinazi,m
antinomie,f
antioxydant,m
antipape,m
antiparasite,m
antiphonaire,m
antiphrase,f
antiprotéase,f
antiproton,m
antipsychiatrie,f
antipsychotique,m
antiquaille,f
antiquaillerie,f
antiquark,m
antiquité,f
antiracisme,m
antirouille,m
antisepsie,f
antiseptique,m
antisérum,m
antisocial,m
antisoviétisme,m
antispasmodique,m
antistalinien,m
antithèse,f
antitout,m
antitoxine,f
antituberculeux,m
antiviral,m
antonomase,f
antonyme,m
anus,m
anuscopie,f
anxiété,f
anxieuse,f
anxiolytique,m
anya,m
aoriste,m
aorte,f
aoul,m
août,m
aoûtat,m
aoûtien,m
apanage,m
apathie,f
apax,m
ape,m
aperception,f
aperçu,m
apéritif,m
apéro,m
apesanteur,f
apex,m
aphaniptère,m
aphasie,f
aphérèse,f
aphonie,f
aphorisme,m
aphrodisie,f
aphrodite,f
aphte,m
api,m
apiculteur,m
apicultrice,f
apiculture,f
apion,m
apis,m
apitoiement,m
aplasie,f
aplatissement,m
aplomb,m
apnée,f
apocalypse,f
apocope,f
apocryphe,m
apogée,m
apolitisme,m
apollon,m
apologie,f
apologue,m
aponévrose,f
apophtegme,m
apoplexie,f
apoptose,f
apostasie,f
apostat,m
apostate,f
apostolat,m
apostrophe,f
apostume,m
apothéose,f
apothicaire,m
apothicairerie,f
apparat,m
apparaux,m
appareil-photo,m
appareillage,m
apparentement,m
appariteur,m
appartement-roi,m
appartenance,f
appauvrissement,m
appeau,m
appeleur,m
appellation,f
appendicectomie,f
appendicite,f
appentis,m
appesantissement,m
appétence,f
appétit,m
applaudimètre,m
applaudissement,m
applaudisseur,m
applicabilité,f
applicateur,m
application,f
appoggiature,f
appontage,m
appontement,m
apport,m
apposition,f
appréciateur,m
appréciation,f
appréciatrice,f
appréhension,f
apprenti-pilote,m
apprenti-sorcier,m
apprenti,m
apprentie,f
apprêt,m
approbation,f
approche,f
approfondissement,m
appropriation,f
approximation,f
appui-main,m
appui-tête,m
aprème,f
après-coup,m
après-déjeuner,m
après-dîner,m
après-mort,f
après-rasage,m
après-repas,m
après-shampoing,m
après-ski,m
aptitude,f
aquaculture,f
aquagym,f
aquaplane,m
aquariophilie,f
aquarium,m
aquatinte,f
aquilon,m
arabesque,f
arabisant,m
arac,m
arachide,f
arachnoïde,f
aragonais,m
aragonite,f
araigne,f
araignée-crabe,f
araignée,f
araire,m
araldite,m
aralia,m
araméen,m
aramon,m
arapède,m
araucan,m
arbalète,f
arbalétrier,m
arbi,m
arbitraire,m
arborescence,f
arboretum,m
arboriculteur,m
arboriculture,f
arborisation,f
arbousier,m
arbres-refuge,m
arc-boutant,m
arc-boutement,m
arc,m
arcade,f
arcadien,m
arcature,f
archaïsant,m
archaïsme,m
archéologie,f
archéoptéryx,m
archer,m
archère,f
archet,m
archétype,m
archevêché,m
archevêque,m
archi-méfiance,f
archi-mort,f
archi-mortels,m
archi-nul,m
archi-plein,m
archi-prudent,m
archi-ringard,m
archiatre,m
archidiacre,m
archidiocèse,m
archiduc,m
archiduchesse,f
archiprêtre,m
architectonie,f
architrave,f
archivage,m
archive,f
archonte,m
arçon,m
ardéchois,m
ardennaise,f
ardent,m
ardeur,f
ardillon,m
ardin,m
ardoise,f
ardoisière,f
area,f
aréflexie,f
aréna,m
arène,f
aréole,f
aréopage,m
aréopagite,m
aréquier,m
arête,f
arétin,m
argan,m
argent,m
argentier,m
argentin,m
argentine,f
argenton,m
argile,f
argilière,f
argol,m
argon,m
argonaute,m
argot,m
argousin,m
argument,m
argumentaire,m
argumentateur,m
argumentatif,m
argumentation,f
argus,m
argutie,f
aria,m
arianisme,m
aridité,f
ariégeois,m
arien,m
ariette,f
arioso,m
aristarque,m
aristocratie,f
aristocratisme,m
aristoloche,f
arithmétique,f
arithmomètre,m
arkose,f
arlequin,m
arlésien,m
arlésienne,f
armadille,f
armature,f
arme-miracle,f
armée,f
armement,m
arménien,m
arménienne,f
arméria,f
armistice,m
armoire,f
armoirie,f
armoise,f
armon,m
armorial,m
armure,f
arnaqueur,m
arnaqueuse,f
arobase,f
aromate,m
aromathérapie,f
aromatique,m
aronde,f
arpège,m
arpent,m
arquebusade,f
arquebuse,f
arrachage,m
arrache-clou,m
arracheuse,f
arrachure,f
arrangeur,m
arrérage,m
arrestation,f
arrêt-buffet,m
arrête-boeuf,m
arrêté,m
arrhe,f
arriération,f
arrière-automne,m
arrière-ban,m
arrière-boutique,f
arrière-cabinet,m
arrière-cousin,m
arrière-cuisine,f
arrière-fond,m
arrière-garde,f
arrière-gorge,f
arrière-grand-mère,f
arrière-grand-oncle,m
arrière-grand-père,m
arrière-grand-tante,f
arrière-grands-parent,m
arrière-loge,m
arrière-magasin,m
arrière-monde,m
arrière-neveu,m
arrière-pays,m
arrière-petit-enfant,m
arrière-petit-fils,m
arrière-petit-neveu,m
arrière-petite-fille,f
arrière-petite-nièce,f
arrière-plan,m
arrière-saison,f
arrière-salle,f
arriéré,m
arrière,m
arriérée,f
arrimage,m
arrivant,m
arrivante,f
arrivé,m
arrivée,f
arrogance,f
arrogant,m
arrogante,f
arrondi,m
arrosage,m
arroseur,m
arroseuse,f
arrosoir,m
artefact,m
artère,f
artériectomie,f
artériographie,f
artériole,f
artériopathie,f
artériosclérose,f
artérite,f
arthrodèse,f
arthropathie,f
arthroplastie,f
arthropode,m
arthroscopie,f
artichaut,m
artiche,m
article-choc,m
article,m
articulation,f
articulé,m
articulet,m
artificialité,f
artiflot,m
artimon,m
artisan,m
artisanat,m
artison,m
aruspice,m
arythmie,f
arzel,m
as-rois,m
asa,m
asana,f
asbeste,m
asbestose,f
ascaris,m
ascendance,f
ascenseur,m
ascension,f
ascèse,f
ascétisme,m
ascite,f
asclépias,m
asdic,m
ase,f
asepsie,f
aseptisation,f
asexualité,f
ashram,m
asile,m
asociabilité,f
asociale,f
aspartam,m
aspect,m
asperge,f
aspergillose,f
aspergillus,m
aspérité,f
asphalte,m
asphodèle,m
asphyxie,f
aspirante,f
aspirateur-traîneau,m
aspirateur,m
aspre,f
assa-foetida,f
assainissement,m
assassin,m
asse,f
assèchement,m
assemblage,m
assemblée,f
assembleur,m
assertion,f
assesseur,m
assiduité,f
assiégé,m
assiégeant,m
assiégée,f
assiette,f
assiettée,f
assignat,m
assignement,m
assimilation,f
assimilé,m
assise,f
assistanat,m
assistance,f
assistant,m
assisté,m
association,f
associé,m
associée,f
assombrissement,m
assommeur,m
assommoir,m
assomption,f
assonance,f
assortiment,m
assouplissant,m
assouplissement,m
assourdissement,m
assuétude,f
assujettissement,m
assurage,m
assurance-accidents,f
assurance-chômage,f
assurance-maladie,f
assurance-vie,f
assuré,m
assurée,f
assureur-conseil,m
assureur,m
assyrien,m
astarté,f
aste,f
astérisme,m
astérisque,m
astéroïde,m
asthénie,f
asti,m
astic,m
asticot,m
asticotage,m
astigmatisme,m
astiqueur,m
astreinte,f
astringent,m
astrochimie,f
astrolabe,m
astrologie,f
astrométrie,f
astronautique,f
astronef,m
astronomie,f
astrophore,m
astrophysicien,m
astrophysicienne,f
astrophysique,f
astroport,m
astroscope,m
asturienne,f
asymétrie,f
asystolie,f
atabeg,m
ataman,m
ataraxie,f
atavisme,m
ataxie,f
atèle,m
atélectasie,f
atellane,f
atémi,m
athéisme,m
athénée,m
athénien,m
athénienne,f
athlétisme,m
atmosphère,f
atome,m
atomisé,m
atomiseur,m
atonie,f
atout,m
atrésie,f
atrium,m
atrocité,f
atrophie,f
atropine,f
attaché-case,m
attache,f
attaché,m
attachée,f
attachement,m
attaquant,m
attaquante,f
attaqueur,m
attardé,m
attardée,f
attardement,m
atteinte,f
attelage,m
attendrisseur,m
attendu,m
attente,f
attentisme,m
atténuateur,m
atténuation,f
atterrage,m
atterrissage,m
attestation,f
attifiaux,m
attirance,f
attisement,m
attisoir,m
attitude,f
attorney,m
attouchement,m
attraction-vedette,f
attrait,m
attrapage,m
attrape-couillon,m
attrape-mouche,m
attrape-nigaud,m
attrape,f
attrition,f
attroupement,m
au-delà,m
aubade,f
aubain,m
aubaine,f
aube,f
aubépine,f
aubère,m
auberge,f
aubette,f
aubier,m
aubour,m
aucuba,m
audace,f
audience,f
audiencia,f
audimat,m
audioconférence,f
audiogramme,m
audiométrie,f
audiophone,m
audiovisuel,m
audit,m
auditeur,m
audition,f
auditoire,m
auditorium,m
auditrice,f
auge,f
augment,m
augmentation,f
augure,m
auguste,m
augustin,m
aula,f
aulnaie,f
aulne,m
auloffée,f
aulos,m
aumône,f
aumônerie,f
aumônier,m
aumônière,f
aura,f
auréole,f
auréomycine,f
aureus,m
auriculaire,m
auricule,f
aurige,m
aurochs,m
aurone,f
aurore,f
auscultation,f
auspice,m
aussière,f
austérité,f
australien,m
australienne,f
australopithèque,m
austro-hongrois,m
ausweis,m
autan,m
autarcie,f
autel,m
auteur,m
auteure,f
authenticité,f
authentification,f
auto-analyse,f
auto-école,f
auto-érotisme,m
auto-intoxication,f
auto-stop,m
auto-stoppeur,m
auto-stoppeuse,f
auto-tamponneuse,f
auto,f
autobiographie,f
autobronzant,m
autobus,m
autocar,m
autocensure,f
autochenille,f
autoclave,m
autocollant,m
autoconservation,f
autocratie,f
autocréation,f
autocritique,f
autocuiseur,m
autodafé,m
autodéfense,f
autodénigrement,m
autodérision,f
autodestruction,f
autodétermination,f
autodiscipline,f
autodrome,m
autofinancement,m
autofocus,m
autogenèse,f
autogestion,f
autogire,m
autographe,m
autoguidage,m
autolysat,m
autolyse,f
automation,f
automatique,m
automatisation,f
automatisme,m
automédication,f
automitrailleuse,f
automne,m
automobile-club,f
automobile,f
automoteur,m
automutilation,f
autoneige,f
autonomie,f
autopilote,m
autoplastie,f
autoportrait,m
autoproduit,m
autopropulseur,m
autopsie,f
autopunition,f
autoradio,m
autorail,m
autorégulation,f
autoreproduction,f
autorisation,f
autoritarisme,m
autorité,f
autoroute,f
autosatisfaction,f
autostrade,f
autosubsistance,f
autosuffisance,f
autosuggestion,f
autosurveillance,f
autour,m
autre,m
autrichien,m
autrichienne,f
autruche,f
auvent,m
auvergnat,m
auvergnate,f
auvergne,f
auverpin,m
auxerrois,m
avachissement,m
aval,m
avalage,m
avalanche,f
avalement,m
avaleuse,f
avaliseur,m
avaloire,f
avance,f
avancée,f
avancement,m
avant-avant-dernier,m
avant-bec,m
avant-centre,m
avant-clou,m
avant-corps,m
avant-cour,f
avant-coureur,m
avant-courrière,f
avant-dernier,m
avant-dernière,f
avant-dîner,m
avant-goût,m
avant-mont,m
avant-papier,m
avant-plan,m
avant-port,m
avant-printemps,m
avant-projet,m
avant-propos,m
avant-scène,f
avant-toit,m
avant-train,m
avant-trou,m
avant-veille,f
avarice,f
avaricieux,m
avarie,f
avaro,m
avatar,m
ave,m
aveline,f
avenant,m
avenir,m
aventurier,m
aventurière,f
aventurine,f
avenue,f
avers,m
averse,f
aveu,m
aveugle-né,m
aveugle-née,f
aviateur,m
aviation,f
aviatrice,f
aviculture,f
avidité,f
avignonnais,m
avion-cargo,m
avion-citerne,m
avion-école,m
avion-espion,m
avion-suicide,m
avion,m
avionique,f
avionnette,f
avionneur,m
avitaminose,f
avocaillon,m
avocasserie,f
avocat-conseil,m
avocat,m
avocate,f
avocatier,m
avocette,f
avortement,m
avorteur,m
avorteuse,f
avril,m
avrillée,f
avulsion,f
avunculat,m
awacs,m
axel,m
axiomatisation,f
axiome,m
axis,m
axolotl,m
axonge,f
aya,f
ayan,m
ayant droit,m
ayatollah,m
aye-aye,m
ayuntamiento,m
azalée,f
azerbaïdjanais,m
azoospermie,f
azoture,m
azulejo,m
b,m
baba,m
babel,m
babeurre,m
babi,m
babil,m
babillard,m
babine,f
