phon,gen
akʁy,f
aky,m
akyltyʁasjɔ̃,f
akymylatœʁ,m
akyzatœʁ,m
akyzatif,m
akyzatʁis,f
akyze,m
ɛs,m
asEfal,m
asɛʁbite,m
asEtabylɔm,m
asEtat,m
asEtɔn,f
asEtilkOlin,f
asEtilɛn,m
aʃalɑ̃daʒ,m
aʃaʁ,m
aʃa,m
aʃ,f
akElɛm,m
aʃəminəmɑ̃,m
aʃətøz,f
aʃɛvəmɑ̃,m
akile,f
akɔ̃dʁOplazi,f
aʃɔpəmɑ̃,m
asiddʒaz,m
asidite,f
asidOsEtoz,f
asidoz,f
asje,m
asjEʁi,f
akme,f
akne,f
akOlit,m
akɔ̃t,m
akOnje,m
akOnit,m
akufɛn,m
akustik,f
akwatOfana,f
akEʁœʁ,m
akjEsəmɑ̃,m
aki,m
akizisjɔ̃,f
akitəmɑ̃,m
akʁəte,f
akʁimOni,f
akʁObasi,f
akʁOmjɔ̃,m
akʁOnim,m
akʁOfObi,f
akʁOpɔl,f
akʁOstiʃ,m
akʁOtɛʁ,m
akʁilik,m
akʁilOnitʁil,m
aktœʁ,m
aktin,f
aktini,f
akʃœnpEntiŋ,f
aksjOnaʁja,m
aksjɔnəmɑ̃,m
aksjOnœʁ,m
aktivatœʁ,m
aktivasjɔ̃,f
aktivizm,m
aktʁis,f
aktɥalizasjɔ̃,f
aktɥalite,f
aktɥasjɔ̃,f
akɥite,f
akymɛn,m
akypɔ̃ktœʁ,m
akypɔ̃ktyʁ,f
ada,m
adaʒ,m
adaptabilite,f
adaptatœʁ,m
adaptasjɔ̃,f
adɛ̃da,m
adɛ̃dɔm,m
aditif,m
adisjɔ̃,f
adyktœʁ,m
adyksjɔ̃,f
adEnin,f
adEnOkaʁsinom,m
adEnom,m
adEnOpati,f
adEnOzin,f
adEnOviʁys,m
adɑ̃,m
adEkwasjɔ̃,f
adEʁɑ̃s,f
adEʁɑ̃,m
adEzif,m
adEzjɔ̃,f
adjø,m
adipOzite,f
adʒa,m
adʒEktif,m
adʒwɛ̃,m
adʒwɛ̃t,f
adʒydɑ̃ʃɛf,m
adʒydɑ̃maʒɔʁ,m
adʒypɛt,m
adʒyʁasjɔ̃,f
adʒytʁis,f
adʒyvɑ̃,m
administʁasjɔ̃,f
administʁativ,f
administʁatʁis,f
administʁe,m
administʁe,f
admiʁatœʁ,m
admiʁatʁis,f
admi,m
admisibilite,f
admikstjɔ̃,f
admOnEstasjɔ̃,f
admOnisjɔ̃,f
adɔb,m
adOlEsɑ̃s,f
adOlEsɑ̃,m
adOlEsɑ̃t,f
adɔ̃,m
adOni,f
adOnis,m
adOptɑ̃,m
adOpte,m
adOpsjɔ̃,f
adOʁatœʁ,m
adOʁasjɔ̃,f
adOʁatʁis,f
ado,m
adubəmɑ̃,m
adusisɑ̃,m
adusisœʁ,m
adepe,m
adʁEnalin,f
adʁEsaʒ,m
adʁɛs,f
adʁɛ,m
adylatœʁ,m
adylta,m
adyltEʁasjɔ̃,f
adyltɛʁ,m
Eʒipɑ̃,m
aEʁaʒ,m
aEʁatœʁ,m
aEʁasjɔ̃,f
aEʁjɛ̃,m
aEʁOklœb,m
aEʁo,m
aEʁObik,m
aEʁodʁom,m
aEʁOdinamik,f
aEʁodinamizm,m
aEʁOfʁɛ̃,m
aEʁOgaʁ,f
aEʁOglisœʁ,m
aEʁOgʁaf,m
aEʁOlit,m
aEʁOlOʒi,f
aEʁOmOdElizm,m
aEʁonotik,f
aEʁOnaval,f
aEʁOnɛf,m
aEʁOpati,f
aEʁOfaʒi,f
aEʁOplan,m
aEʁOpɔʁ,m
aEʁOpOstal,f
aEʁOsɔl,m
aEʁOspasjal,f
aEʁOsta,m
aEʁOstje,m
aEʁOtʁɛ̃,m
afabilite,f
afabylasjɔ̃,f
afabylatʁis,f
afaktyʁaʒ,m
afadisəmɑ̃,m
afEblisəmɑ̃,m
afɛʁ,f
afEʁe,m
afEʁe,f
afEʁizm,m
afEsəmɑ̃,m
afaləmɑ̃,m
afame,m
afame,f
afɛkt,m
afEktasjɔ̃,f
afEksjɔ̃,f
afEktivite,f
afɛʁmisəmɑ̃,m
afEtəʁi,f
afiʃaʒ,m
afiʃ,f
afiʃɛt,f
afiʃœʁ,m
afidavi,m
afide,m
afilje,m
afilje,f
afinaʒ,m
afinəmɑ̃,m
afinite,f
afikɛ,m
afiʁmasjɔ̃,f
afiʁmativ,f
aflœʁəmɑ̃,m
aflyɑ̃s,f
afly,m
afɔləmɑ̃,m
afwaʒ,m
afujəmɑ̃,m
afʁɑ̃ʃi,f
afʁɛtəmɑ̃,m
afʁEtœʁ,m
afʁɔ̃,m
afʁɔ̃təmɑ̃,m
afybləmɑ̃,m
afyzjɔ̃,f
afy,m
afytaʒ,m
afytœʁ,m
afgɑ̃,m
afgan,f
afisjOnado,m
afʁikɛ̃,m
afʁikɛn,f
afʁikanism,m
afʁikɑ̃s,m
afʁoamEʁikɛ̃,m
afʁOamEʁikɛ̃,f
afʁOkybɛ̃,m
afʁOkybɛn,f
aftœʁʃɛv,m
agas,f
agasəmɑ̃,m
agasœʁ,m
agam,m
agami,m
agapɑ̃t,f
agaʁagaʁ,m
agat,f
agav,m
aʒ,m
aʒɑ̃s,f
aʒɑ̃səmɑ̃,m
aʒɑ̃,m
aʒɑ̃t,f
aʒjɔʁnamɛnto,m
aglo,m
aglOmEʁa,m
aglOmEʁasjɔ̃,f
aglOmEʁe,m
aglytinasjɔ̃,f
aglytinəmɑ̃,m
aglytinOʒɛn,m
agʁavasjɔ̃,f
agʁav,f
agʁave,f
aʒilite,f
aʒjo,m
aʒjOtœʁ,m
aʒizm,m
aʒitpʁɔp,f
aʒitatœʁ,m
aʒitatʁis,f
aʒite,m
aʒite,f
aɲa,m
aɲat,m
aɲo,m
aɲəlaʒ,m
aɲəlɛ,m
aɲəlin,f
aɲɛl,f
agnOzi,f
agnusdEi,m
agOni,f
agOnizɑ̃,m
agOnizɑ̃t,f
agOʁa,f
agOʁafObi,f
aguti,m
agOjat,m
agʁafaʒ,m
agʁaf,f
agʁafœʁ,m
agʁaføz,f
agʁEnaʒ,m
agʁanylOsitoz,f
agʁEabl,m
agʁEe,m
agʁɛg,f
agʁEga,m
agʁEgatif,m
agʁEgasjɔ̃,f
agʁEgativ,f
agʁEʒe,m
agʁEʒe,f
agʁEmɑ̃,m
agʁɛ,m
agʁEsœʁ,m
agʁEsjɔ̃,f
agʁEsivite,f
agʁikyltœʁ,m
agʁikyltʁis,f
agʁipəmɑ̃,m
agʁOalimɑ̃tɛʁ,m
agʁOnOmi,f
agʁOvij,f
agwaʁdjɛnte,f
agiʃaʒ,m
agiʃ,f
agiʃøz,f
aɑ̃,m
ayʁi,f
ayʁisəmɑ̃,m
ai,m
aid,m
ɛdkɔ̃tabl,m
ɛdkɥizinje,m
ɛdʒaʁdinje,m
ɛdmaʒɔʁ,m
ɛdmEmwaʁ,m
ɛdmEnaʒɛʁ,f
ɛdswaɲɑ̃t,f
ajœl,m
ajœl,f
ɛgləfɛ̃,m
Eglɔ̃,m
Egʁɛt,f
Egʁœʁ,f
Egʁi,f
Egy,m
Egad,f
Egaj,m
ɛgmaʁin,f
Egjɛʁ,f
Egɥijaʒ,m
Egɥija,m
Egɥij,f
Egɥije,f
Egɥijɛt,f
Egɥijœʁ,m
Egɥijɔ̃,m
Egizœʁ,m
Egizwaʁ,m
ajkido,m
ɛl,f
Elɛt,f
Elje,m
Emɑ̃,m
Emɑ̃tasjɔ̃,f
Emøz,f
Ene,m
Ene,f
Enɛs,f
ajOli,m
ɛʁbag,m
ɛʁ,m
ɛʁbys,m
ɛʁ,f
ɛʁədal,m
Eʁɛl,f
Ezɑ̃s,f
Eso,m
Esɛl,f
ɛtʁ,m
Ekswa,m
aʒaksjɛn,f
aʒaks,m
aʒɔ̃,m
aʒuʁ,m
aʒut,f
aʒute,m
aʒystaʒ,m
aʒystəmɑ̃,m
aʒystœʁ,m
aʒystyʁ,f
aʒytaʒ,m
ako,m
akvavi,m
alabɑ̃din,f
alɛz,f
alɑ̃gisəmɑ̃,m
alaʁm,f
alaʁmizm,m
alba,f
albakɔʁ,m
albanɛ,m
albanɛz,f
albatʁos,m
alb,m
albɛn,m
albɛʁtin,f
albiʒwa,m
albinizm,m
albygo,m
albymin,f
alkald,m
alkali,m
alkalinite,f
alkalOid,m
alkaloz,f
alkatʁaz,m
alse,f
alʃimi,f
alsibjad,m
alkOlEmi,f
alkOlizm,m
alkOmɛtʁ,m
alkOtɛst,m
alkOʁɑ̃,m
alsjɔ̃,m
ald,m
aldEid,m
aldɛʁman,m
aldɔl,m
al,f
alEa,m
alɛʁt,f
alEksɑ̃dʁa,m
alEksɑ̃dʁɛ̃,m
alEksi,f
alEksitimi,m
aləzɑ̃,m
alfEnid,m
algaʁad,f
alʒEʁjɛ̃,m
alʒEʁjɛn,f
alʒi,f
algɔ̃kɛ̃,m
algɔ̃kin,f
algOʁitm,m
alg,f
alidad,f
aljEnasjɔ̃,f
aljEne,m
aljEne,f
aligo,m
aligOte,m
alim,f
alimɑ̃tasjɔ̃,f
alinEa,m
aliz,f
alizje,m
alitəmɑ̃,m
alize,m
alɑ̃,m
ale,f
alEgasjɔ̃,f
alEʒɑ̃s,f
alEʒəmɑ̃,m
alɛʒəmɑ̃,m
alEgOʁi,f
alEgʁɛs,f
alEgʁo,m
alɛl,m
alEluja,m
aləmaɲ,f
aləmɑ̃,m
aləmɑ̃d,f
alEʁətuʁ,m
alɛʁʒɛn,m
alɛʁʒi,f
alɛʁgOlOʒi,f
aljaʒ,m
aljɑ̃s,f
alje,m
alje,f
aligatɔʁ,m
alitEʁasjɔ̃,f
aljɔm,m
alObaʁbital,m
alɔk,f
alOkasjɔ̃,f
alOkton,m
alOkysjɔ̃,f
alOgʁɛf,f
alɔ̃ʒ,f
alɔ̃ʒəmɑ̃,m
alOpati,f
alymaʒ,m
alyme,m
alyme,f
alymœʁ,m
alymøz,f
alymwaʁ,m
alyʁ,f
alyvjɔ̃,f
alme,f
alOɛs,m
alwa,m
alOpEsi,f
aloz,f
alwɛt,f
aluʁdisəmɑ̃,m
alwajo,m
alpaga,m
alpaʒ,m
alp,f
alpɑ̃stɔk,m
alfabɛ,m
alfabEtizasjɔ̃,f
alzasjɛn,f
alstOnja,f
altɛʁEgo,m
altEʁasjɔ̃,f
altɛʁkasjɔ̃,f
altEʁite,f
altɛʁnatœʁ,m
altɛʁnativ,f
altEa,f
altityd,f
altʁɥizm,m
altyglas,m
alyd,f
alɥɛt,f
alyminjɔm,m
alœ̃,m
alynisaʒ,m
alvaʁ,m
alvEɔl,m
alis,m
amabilite,f
amEgʁisəmɑ̃,m
amalgam,m
amɑ̃,m
amɑ̃d,f
amɑ̃din,f
amɑ̃t,f
amaʁo,m
ama,m
amatØʁizm,m
amatʁis,f
amOʁoz,f
amazon,f
ɑ̃baʒ,f
ɑ̃basadœʁ,m
ɑ̃basadʁis,f
ɑ̃bigɥite,f
ɑ̃bisjøz,f
ɑ̃bisjø,m
ɑ̃bisjɔ̃,f
ɑ̃bivalɑ̃s,f
ɑ̃bɔ̃,m
ɑ̃bʁwazi,f
ɑ̃bylɑ̃sje,m
ɑ̃bylɑ̃sjɛʁ,f
ɑ̃bylɑ̃,m
amsœʁ,f
am,f
ame,m
amEljOʁasjɔ̃,f
amEnaʒəmɑ̃,m
amɑ̃dəmɑ̃,m
aməne,f
amEnite,f
amEnOʁe,f
amənɥizəmɑ̃,m
amɛʁ,m
amEʁikɛ̃,m
amEʁikɛn,f
amEʁikanizasjɔ̃,f
amEʁikanizm,m
amEʁikanite,f
amEʁikano,m
amEʁisjɔm,m
amEʁɛ̃djɛ̃,m
amEʁɛ̃djɛn,f
amEʁik,f
amEʁisaʒ,m
amɛʁtym,f
amEtist,f
amœbləmɑ̃,m
amaʁik,m
ami,m
amjɑ̃t,m
amikal,f
amikalite,f
amidɔ̃,m
ami,f
amɛ̃sisɑ̃,m
amɛ̃sisəmɑ̃,m
amin,f
aminOasid,m
aminOfilin,f
amiʁal,m
amiʁOte,f
amitje,f
amOnit,f
amOnitʁat,m
amOnjɔm,m
amnEzi,f
amnjOsɛ̃tɛz,f
amnjos,m
amnisti,f
amnistje,m
amnistje,f
amwɛ̃dʁisəmɑ̃,m
amɔk,m
amOlisəmɑ̃,m
amɔ̃,m
amOʁalite,f
amɔʁsaʒ,m
amɔʁs,f
amɔʁswaʁ,m
amɔʁti,m
amɔʁtisəmɑ̃,m
amɔʁtisœʁ,m
amuʁgu,m
amuʁpasjɔ̃,m
amuʁ,m
amuʁøz,f
amuʁø,m
#DEF#,f
ɑ̃pElOpsis,m
ɑ̃pEʁaʒ,m
ɑ̃pɛʁ,m
ɑ̃pɛʁəmɛtʁ,m
ɑ̃fe,m
ɑ̃fEtamin,f
ɑ̃fi,m
ɑ̃fibi,m
ɑ̃fibjɛ̃,m
ɑ̃figuʁi,m
ɑ̃fitEatʁ,m
ɑ̃fitʁit,f
ɑ̃fitʁijɔ̃,m
ɑ̃fɔʁ,f
ɑ̃plœʁ,f
ɑ̃plitynɛʁ,m
ɑ̃plifikasjɔ̃,f
ɑ̃plityd,f
ɑ̃pul,f
ɑ̃pyte,m
amylɛt,f
amyʁ,f
amyzbuʃ,m
amyzgœl,m
amyzəmɑ̃,m
amidal,f
amidalEktOmi,f
amidalit,f
amilaz,f
amil,m
ana,m
anabaz,f
anabOlizɑ̃,m
anakOʁɛt,m
anakʁOnizm,m
anakOlyt,f
anakɔ̃da,m
anaglif,m
anagʁam,f
analEptik,m
analʒEzi,f
analʒEzik,m
analOʒi,f
analɔg,m
analfabEtizm,m
analizɑ̃,m
analize,m
analize,f
analizœʁ,m
analitik,f
anamnɛz,f
anamɔʁfoz,f
anana,m
anafaz,f
anafilaksi,f
anaʁʃizm,m
anaʁkOsɛ̃dikalizm,m
anastOmoz,f
anatɛm,m
anatide,m
anatif,m
anatOmi,f
ɑ̃sEstʁalite,f
ɑ̃ʃ,f
ɑ̃kilɔps,m
ɑ̃ʃwajad,f
ɑ̃ʃwa,m
ɑ̃sjɛ̃,m
ɑ̃sjɛn,f
ɑ̃sjɛnəte,f
ɑ̃kOli,f
ɑ̃kʁaʒ,m
ɑ̃da,m
ɑ̃dɛ̃,m
ɑ̃daluz,f
ɑ̃dɑ̃t,m
ɑ̃duje,m
ɑ̃dujɛt,f
ɑ̃dʁinɔpl,f
ɑ̃dʁOʒɛn,m
ɑ̃dʁOʒini,f
ɑ̃dʁOid,m
ɑ̃dʁOpoz,f
an,m
anEɑ̃tisəmɑ̃,m
anEkdɔt,f
anEkdOtje,m
anEmi,f
anEmOmɛtʁ,m
anEmɔn,f
anəʁi,f
anEstEzjɑ̃,m
anEstEzi,f
anEstEzik,m
anEvʁizm,m
ɑ̃fʁaktɥOzite,f
ɑ̃ʒ,m
ɑ̃ʒEit,f
ɑ̃ʒElik,f
ɑ̃ʒElizm,m
ɑ̃ʒəlo,m
ɑ̃ʒElys,m
ɑ̃ʒəvɛ̃,m
ɑ̃ʒəvin,f
ɑ̃ʒjOkOlit,f
ɑ̃ʒjOgʁafi,f
ɑ̃ʒjom,m
ɑ̃ʒjOplasti,f
ɑ̃glɛz,f
ɑ̃glətɛʁ,f
ɑ̃glikɑ̃,m
ɑ̃glikan,f
ɑ̃glisizasjɔ̃,f
ɑ̃glisizm,m
ɑ̃glOamEʁikɛ̃,m
ɑ̃glOaʁab,m
ɑ̃glOsaksɔ̃,m
ɑ̃glOmani,f
ɑ̃glOfObi,f
ɑ̃gwas,f
ɑ̃gwase,m
ɑ̃gOlɛ,m
ɑ̃gɔʁ,m
ɑ̃gOʁa,m
ɑ̃gstʁøm,m
ɑ̃gijyl,f
ɑ̃gi,m
ɑ̃gylOzite,f
ɑ̃gystyʁa,f
anElasjɔ̃,f
anidʁid,m
anilin,f
animalEspjɔ̃,m
animalʁwa,m
animalkyl,m
animaləʁi,f
animalje,m
animalite,f
animizm,m
animOzite,f
animys,m
anis,m
anize,m
anizɛt,f
ɑ̃k,m
anal,f
ano,m
anElymjɛʁ,f
aneɔm,f
anəlɛ,m
anəlyʁ,f
anEksjɔ̃,f
aniilasjɔ̃,f
aniv,m
anɔ̃sœʁ,m
anɔ̃søz,f
anɔ̃sjatœʁ,m
anɔ̃sjasjɔ̃,f
anɔ̃sjatʁis,f
anOtasjɔ̃,f
anɥɛʁ,m
anylɛʁ,m
anOblisəmɑ̃,m
anɔd,f
anOmali,f
anOmuʁ,m
anɔnəmɑ̃,m
anOnima,m
anOnimogʁaf,m
anOfɛl,m
anOʁak,m
anOʁEksi,f
anɔʁmal,m
anɔʁmal,f
anɔʁmalite,f
anOsmi,f
anOksi,f
ɑ̃s,f
ɑ̃tagOnizm,m
ɑ̃talʒik,m
ɑ̃t,f
ɑ̃tEsEdɑ̃,m
ɑ̃tEkʁist,m
ɑ̃tɛn,f
ɑ̃tEpEnyltjɛm,f
ɑ̃tOlOʒi,f
ɑ̃tOnɔm,m
ɑ̃tʁasɛn,m
ɑ̃tʁasin,m
ɑ̃tʁasit,m
ɑ̃tʁakoz,f
ɑ̃tʁakinɔn,f
ɑ̃tʁaks,m
ɑ̃tʁOpOlOʒi,f
ɑ̃tʁOpOmEtʁi,f
ɑ̃tʁOpOmɔʁfizm,m
ɑ̃tʁOpOfaʒi,f
ɑ̃tʁOpOpitɛk,m
ɑ̃tiakne,f
ɑ̃tiaEʁjɛ̃,m
ɑ̃tiagʁEsjɔ̃,f
ɑ̃tialɛʁʒi,f
ɑ̃tiapaʁtɛd,m
ɑ̃tiavɔʁtəmɑ̃,m
ɑ̃tibof,m
ɑ̃tibizɔ̃,m
ɑ̃tiblɛ̃daʒ,m
ɑ̃tibluzɔ̃,m
ɑ̃tibɔ̃b,f
ɑ̃tibOzɔ̃,m
ɑ̃tibʁakaʒ,m
ɑ̃tibʁujaʁ,m
ɑ̃tibʁɥi,m
ɑ̃tikɑ̃sɛʁ,m
ɑ̃tisElylit,f
ɑ̃tiʃɑ̃bʁ,f
ɑ̃tiʃaʁ,m
ɑ̃tiʃjɛ̃,m
ɑ̃tisite,f
ɑ̃tisivilizasjɔ̃,f
ɑ̃tiklœb,m
ɑ̃tikOlɛʁ,f
ɑ̃tikOmynizm,m
ɑ̃tikɔ̃fɔʁmizm,m
ɑ̃tikɔʁ,m
ɑ̃tikOʁypsjɔ̃,f
ɑ̃tikʁaʃ,m
ɑ̃tikʁim,m
ɑ̃tikʁiminalite,f
ɑ̃tidOfɛ̃,m
ɑ̃tidEboʃ,f
ɑ̃tidEmɔ̃,m
ɑ̃tidEspEʁado,m
ɑ̃tidjø,m
ɑ̃tidiskʁiminasjɔ̃,f
ɑ̃tidOpaʒ,m
ɑ̃tidulœʁ,f
ɑ̃tidʁag,f
ɑ̃tidʁɔg,f
ɑ̃tiEspjɔn,f
ɑ̃tiEstabliʃmœnt,m
ɑ̃tiEvazjɔ̃,f
ɑ̃tiEgzistɑ̃s,f
ɑ̃tiEksplOzjɔ̃,f
ɑ̃tifɑ̃tom,m
ɑ̃tifam,f
ɑ̃tiflɛ̃gaʒ,m
ɑ̃tiflip,m
ɑ̃tifʁigo,m
ɑ̃tifyze,f
ɑ̃tiʒɛl,m
ɑ̃tiʒɛʁs,f
ɑ̃tiguvɛʁnəmɑ̃,m
ɑ̃tigʁafiti,m
ɑ̃tigʁavite,f
ɑ̃tigʁimas,f
ɑ̃tianətɔ̃,m
ɑ̃tiimigʁasjɔ̃,f
ɑ̃tiɛ̃sɑ̃di,m
ɑ̃tiinɛʁsi,f
ɑ̃tiɛ̃flamatwaʁ,m
ɑ̃tiɛ̃sɛkt,m
ɑ̃tiɛ̃stɛ̃,m
ɑ̃tiɛ̃timite,f
ɑ̃tiʒapɔ̃,m
ɑ̃timafja,f
ɑ̃timEzɔ̃,f
ɑ̃timanipylasjɔ̃,f
ɑ̃timanwaʁ,m
ɑ̃timaʁjaʒ,m
ɑ̃timatjɛʁ,f
ɑ̃timɛk,m
ɑ̃timEdikamɑ̃,m
ɑ̃timEtEOʁit,f
ɑ̃timisil,m
ɑ̃timit,f
ɑ̃timɔ̃d,m
ɑ̃timustik,m
ɑ̃tinOze,f
ɑ̃tinaviʁ,m
ɑ̃tinyklEɛʁ,m
ɑ̃tiOdœʁ,f
ɑ̃tiOʁiʒin,f
ɑ̃tipanaʃ,m
ɑ̃tipaʁtikyl,f
ɑ̃tipastœʁ,m
ɑ̃tipiʁataʒ,m
ɑ̃tipwazɔ̃,m
ɑ̃tipwas,f
ɑ̃tipOlysjɔ̃,f
ɑ̃tipu,m
ɑ̃tipys,f
ɑ̃tiʁakɛt,m
ɑ̃tiʁadjasjɔ̃,f
ɑ̃tiʁapt,m
ɑ̃tiʁəflɛ,m
ɑ̃tiʁəʒɛ,m
ɑ̃tiʁəliʒjɔ̃,f
ɑ̃tiʁym,m
ɑ̃tiʁid,f
ɑ̃tiʁOmɛ̃,m
ɑ̃tiʁuj,f
ɑ̃tisEmitizm,m
ɑ̃tisida,m
ɑ̃tisOsjEte,f
ɑ̃tisɔmnOlɑ̃s,f
ɑ̃tisufl,m
ɑ̃tistʁɛs,m
ɑ̃titaʃ,f
ɑ̃titɑ̃k,m
ɑ̃titapisəʁi,f
ɑ̃titɑ̃,m
ɑ̃titɑ̃sjɔ̃,f
ɑ̃titEʁOʁizm,m
ɑ̃titɔʁnad,f
ɑ̃titu,f
ɑ̃titʁɥi,f
ɑ̃titʁœst,m
ɑ̃tivənɛ̃,m
ɑ̃tivjEjisəmɑ̃,m
ɑ̃tivjɔl,m
ɑ̃tivjOlɑ̃s,f
ɑ̃tiviʁys,m
ɑ̃tiamEʁikanizm,m
ɑ̃tibjOtik,m
ɑ̃tibwa,m
ɑ̃tibɔlʃəvizm,m
ɑ̃tikatalizœʁ,m
ɑ̃tikʁistjanizm,m
ɑ̃tiklEʁikalizm,m
ɑ̃tikOagylɑ̃,m
ɑ̃tikOlOnjalizm,m
ɑ̃tisiklon,m
ɑ̃tidEmaʁaʒ,m
ɑ̃tidEpʁEsœʁ,m
ɑ̃tidEʁapɑ̃,m
ɑ̃tidɔt,m
ɑ̃tidʁEfyzaʁ,m
ɑ̃tidʁEfyzizm,m
ɑ̃tiEmEtik,m
ɑ̃tjɛn,f
ɑ̃tifEdiŋ,m
ɑ̃tifaʃizm,m
ɑ̃tifEminizm,m
ɑ̃tifɔ̃ʒik,m
ɑ̃tiʒɛʁmanizm,m
ɑ̃tigʁavitasjɔ̃,f
ɑ̃tigʁip,f
ɑ̃tiEʁo,m
ɑ̃tiistaminik,m
ɑ̃tijɛ,m
ɑ̃tijɛz,f
ɑ̃tilɔp,f
ɑ̃timilitaʁizm,m
ɑ̃timit,m
ɑ̃timitOtik,m
ɑ̃timwan,m
ɑ̃tinazi,m
ɑ̃tinOmi,f
ɑ̃tiOksidɑ̃,m
ɑ̃tipap,m
ɑ̃tipaʁazit,m
ɑ̃tifOnɛʁ,m
ɑ̃tifʁaz,f
ɑ̃tipʁOtEaz,f
ɑ̃tipʁOtɔ̃,m
ɑ̃tipsikjatʁi,f
ɑ̃tipsikOtik,m
ɑ̃tikaj,f
ɑ̃tikajəʁi,f
ɑ̃tikwaʁk,m
ɑ̃tikite,f
ɑ̃tiʁasizm,m
ɑ̃tiʁuj,m
ɑ̃tisEpsi,f
ɑ̃tisEptik,m
ɑ̃tisEʁɔm,m
ɑ̃tisOsjal,m
ɑ̃tisOvjEtizm,m
ɑ̃tispasmOdik,m
ɑ̃tistalinjɛ̃,m
ɑ̃titɛz,f
ɑ̃titu,m
ɑ̃titOksin,f
ɑ̃titybɛʁkylø,m
ɑ̃tiviʁal,m
ɑ̃tOnOmaz,f
ɑ̃tOnim,m
anys,m
anyskOpi,f
ɑ̃ksjEte,f
ɑ̃ksjøz,f
ɑ̃ksjOlitik,m
ania,m
aOʁist,m
aɔʁt,f
aul,m
ut,m
auta,m
ausjɛ̃,m
apanaʒ,m
apati,f
apaks,m
ap,m
apɛʁsEpsjɔ̃,f
apɛʁsy,m
apEʁitif,m
apEʁo,m
apəzɑ̃tœʁ,f
apɛks,m
afaniptɛʁ,m
afazi,f
afEʁɛz,f
afOni,f
afOʁizm,m
